City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
4,Jamestown,US,81.99,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
5,Coruripe,BR,76.57,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
7,Praya,CV,77.54,light intensity drizzle,14.9215,-23.5087,LT Aparthotel
9,Rikitea,PF,73.38,scattered clouds,-23.1203,-134.9692,People ThankYou
11,Luena,AO,84.9,few clouds,-11.7833,19.9167,Hotel Kandamba
12,Havre-Saint-Pierre,CA,73.76,clear sky,50.2334,-63.5986,Auberge Niapiskau
13,Komsomolskiy,UZ,81.32,few clouds,40.4272,71.7189,Ikathouse
14,Chiriqui Grande,PA,83.64,few clouds,8.95,-82.1167,Hotel Atlantic Suites
15,Soyo,AO,74.12,scattered clouds,-6.1349,12.3689,Hospedaria ndozi'ame
17,Butaritari,KI,80.37,moderate rain,3.0707,172.7902,Isles Sunset Lodge
21,Seoul,KR,78.19,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
22,Masyaf,SY,80.91,clear sky,35.0653,36.3406,شاطئ مايو
23,Coahuayana,MX,81.61,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
28,Sambava,MG,71.26,few clouds,-14.2667,50.1667,Melrose
32,Manta,EC,78.58,few clouds,-0.95,-80.7333,Balandra Hotel
35,Bambous Virieux,MU,71.85,light rain,-20.3428,57.7575,Casa Tia Villa
38,Gryazi,RU,79.14,overcast clouds,52.4966,39.9359,Гостиница Ника
39,Alabaster,US,80.98,broken clouds,33.2443,-86.8164,"Candlewood Suites Alabaster, an IHG Hotel"
40,Huilong,CN,78.46,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
41,Morehead,US,81.79,scattered clouds,37.2711,-87.1764,CCI Express Inn
43,Sabang,ID,83.1,overcast clouds,5.8933,95.3214,Hotel Citra
48,Shenjiamen,CN,80.02,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
49,Saint Paul,US,71.85,few clouds,44.9444,-93.0933,"InterContinental Saint Paul Riverfront, an IHG Hotel"
50,Hithadhoo,MV,81.23,overcast clouds,-0.6,73.0833,Scoop Guest House
51,Talcher,IN,78.51,overcast clouds,20.95,85.2167,Hotel Green Park
54,Maku,IR,82.69,overcast clouds,39.2911,44.4521,Maku Tourist Hotel
55,Roma,US,86.68,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
56,Atuona,PF,76.3,few clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
57,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
58,Doka,SD,74.37,light rain,13.5167,35.7667,Um Rakuba Refugee Camp
64,Nuevo Progreso,MX,84.54,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
68,Marsa Matruh,EG,86.85,clear sky,31.3525,27.2453,Beau Site
69,Ponta Do Sol,PT,81.72,clear sky,32.6667,-17.1,Hotel do Campo
70,Isangel,VU,73.02,few clouds,-19.55,169.2667,Tanna Lodge
71,Kapaa,US,77.09,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
74,Los Llanos De Aridane,ES,73.15,scattered clouds,28.6585,-17.9182,Valle Aridane
77,Newport,GB,74.77,clear sky,51.5877,-2.9984,ibis budget Newport
79,Hilo,US,73.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
80,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
83,Torbay,CA,74.17,broken clouds,47.6666,-52.7314,Gallows Cove
89,Axim,GH,79.56,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
90,Hobyo,SO,78.15,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
92,Menzelinsk,RU,70.79,clear sky,55.7271,53.1026,Odzun
93,Pak Phanang,TH,81.91,light rain,8.3511,100.202,Green Park Inn Hotel
96,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
98,Beyneu,KZ,79.34,scattered clouds,45.3167,55.2,NUR
99,Point Fortin,TT,75.88,overcast clouds,10.1833,-61.6833,Jus Les' Suites
101,Lewisville,US,87.53,broken clouds,33.0462,-96.9942,Best Western Plus Hotel Lewisville Flower Mound
102,Bethel,US,88.2,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
