City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
0,Vaini,-21.2,-175.2,69.96,88,75,10.36,TO,broken clouds
1,Hermanus,-34.4187,19.2345,57.79,59,76,9.04,ZA,broken clouds
2,Alice Springs,-23.7,133.8833,42.35,56,0,0.0,AU,clear sky
3,Busselton,-33.65,115.3333,56.88,67,73,5.06,AU,broken clouds
4,Jamestown,42.097,-79.2353,81.99,56,0,3.44,US,clear sky
5,Coruripe,-10.1256,-36.1756,76.57,74,25,15.82,BR,scattered clouds
6,Bluff,-46.6,168.3333,48.79,95,100,6.91,NZ,overcast clouds
7,Praya,14.9215,-23.5087,77.54,88,75,13.8,CV,light intensity drizzle
8,Iqaluit,63.7506,-68.5145,42.53,86,75,5.75,CA,broken clouds
9,Rikitea,-23.1203,-134.9692,73.38,75,46,12.82,PF,scattered clouds
10,Lebu,-37.6167,-73.65,53.17,84,20,17.31,CL,few clouds
11,Luena,-11.7833,19.9167,84.9,10,15,8.21,AO,few clouds
12,Havre-Saint-Pierre,50.2334,-63.5986,73.76,68,0,9.22,CA,clear sky
13,Komsomolskiy,40.4272,71.7189,81.32,18,24,4.61,UZ,few clouds
14,Chiriqui Grande,8.95,-82.1167,83.64,70,12,3.8,PA,few clouds
15,Soyo,-6.1349,12.3689,74.12,70,25,10.74,AO,scattered clouds
16,Armidale,-30.5167,151.65,35.15,92,4,1.21,AU,clear sky
17,Butaritari,3.0707,172.7902,80.37,75,20,5.46,KI,moderate rain
18,Lavrentiya,65.5833,-171.0,41.63,90,59,8.43,RU,broken clouds
19,Shyryayeve,47.3805,30.1964,85.98,37,60,4.12,UA,broken clouds
20,Yellowknife,62.456,-114.3525,59.56,88,20,10.36,CA,smoke
21,Seoul,37.5683,126.9778,78.19,94,0,2.3,KR,clear sky
22,Masyaf,35.0653,36.3406,80.91,61,0,12.88,SY,clear sky
23,Coahuayana,18.7333,-103.6833,81.61,76,87,2.89,MX,overcast clouds
24,New Norfolk,-42.7826,147.0587,36.72,80,47,3.04,AU,scattered clouds
25,Punta Arenas,-53.15,-70.9167,41.11,81,20,9.22,CL,few clouds
26,Cape Town,-33.9258,18.4232,60.12,59,40,9.22,ZA,scattered clouds
27,Ulladulla,-35.35,150.4667,47.77,69,55,11.1,AU,broken clouds
28,Sambava,-14.2667,50.1667,71.26,83,12,7.05,MG,few clouds
29,Tuatapere,-46.1333,167.6833,46.47,94,99,4.09,NZ,overcast clouds
30,Tiksi,71.6872,128.8694,40.68,94,100,15.1,RU,overcast clouds
31,Charters Towers,-20.1,146.2667,57.6,84,0,7.29,AU,clear sky
32,Manta,-0.95,-80.7333,78.58,73,20,6.91,EC,few clouds
33,Ayia Galini,35.1,24.6833,90.39,48,0,8.16,GR,clear sky
34,Alyangula,-13.8483,136.4192,67.82,75,0,11.18,AU,clear sky
35,Bambous Virieux,-20.3428,57.7575,71.85,83,75,17.27,MU,light rain
36,Albany,42.6001,-73.9662,84.67,57,91,1.01,US,overcast clouds
37,Aconibe,1.2968,10.9369,76.62,67,99,4.29,GQ,light rain
38,Gryazi,52.4966,39.9359,79.14,26,91,16.91,RU,overcast clouds
39,Alabaster,33.2443,-86.8164,80.98,85,75,6.91,US,broken clouds
40,Huilong,31.8111,121.655,78.46,94,98,6.55,CN,overcast clouds
41,Morehead,37.2711,-87.1764,81.79,82,40,6.91,US,scattered clouds
42,Sisimiut,66.9395,-53.6735,42.96,72,23,14.45,GL,few clouds
43,Sabang,5.8933,95.3214,83.1,77,90,15.93,ID,overcast clouds
44,Port Alfred,-33.5906,26.891,56.48,66,88,28.5,ZA,light rain
45,San Quintin,30.4833,-115.95,68.67,83,19,3.85,MX,few clouds
46,Hobart,-42.8794,147.3294,37.06,89,34,10.36,AU,scattered clouds
47,Ouegoa,-20.35,164.4333,70.7,83,100,7.02,NC,overcast clouds
48,Shenjiamen,29.9576,122.298,80.02,91,100,4.43,CN,overcast clouds
49,Saint Paul,44.9444,-93.0933,71.85,82,20,12.66,US,few clouds
50,Hithadhoo,-0.6,73.0833,81.23,78,100,9.48,MV,overcast clouds
51,Talcher,20.95,85.2167,78.51,88,100,3.53,IN,overcast clouds
52,Geraldton,-28.7667,114.6,50.41,93,0,6.91,AU,clear sky
53,Upington,-28.4478,21.2561,64.78,29,0,11.5,ZA,clear sky
54,Maku,39.2911,44.4521,82.69,19,99,4.74,IR,overcast clouds
55,Roma,43.2128,-75.4557,86.68,60,0,5.75,US,clear sky
56,Atuona,-9.8,-139.0333,76.3,77,12,16.4,PF,few clouds
57,Saint-Georges,12.0564,-61.7485,85.68,79,20,13.8,GD,few clouds
58,Doka,13.5167,35.7667,74.37,90,99,6.87,SD,light rain
59,Arraial Do Cabo,-22.9661,-42.0278,69.66,52,100,10.36,BR,overcast clouds
60,Constitucion,-35.3333,-72.4167,58.53,64,23,9.84,CL,few clouds
61,Mar Del Plata,-38.0023,-57.5575,59.95,42,0,25.32,AR,clear sky
62,Sioux Lookout,50.1001,-91.917,64.47,68,20,0.0,CA,few clouds
63,Nome,64.5011,-165.4064,48.27,81,0,10.36,US,clear sky
64,Nuevo Progreso,23.1667,-97.95,84.54,62,76,1.99,MX,broken clouds
65,Havoysund,70.9963,24.6622,68.23,80,84,11.9,NO,broken clouds
66,Ancud,-41.8697,-73.8203,53.22,89,100,3.62,CL,overcast clouds
67,Bredasdorp,-34.5322,20.0403,54.72,59,94,10.29,ZA,overcast clouds
68,Marsa Matruh,31.3525,27.2453,86.85,53,0,16.64,EG,clear sky
69,Ponta Do Sol,32.6667,-17.1,81.72,65,1,0.56,PT,clear sky
70,Isangel,-19.55,169.2667,73.02,79,19,9.17,VU,few clouds
71,Kapaa,22.0752,-159.319,77.09,83,20,13.8,US,few clouds
72,Barrow,71.2906,-156.7887,30.22,93,100,10.36,US,mist
73,Yablonovo,50.8523,37.3574,70.36,41,96,18.43,RU,overcast clouds
74,Los Llanos De Aridane,28.6585,-17.9182,73.15,73,40,16.11,ES,scattered clouds
75,Fort Nelson,58.8053,-122.7002,58.59,77,40,4.61,CA,scattered clouds
76,Abalak,58.1286,68.5944,58.03,76,91,7.96,RU,overcast clouds
77,Newport,51.5877,-2.9984,74.77,64,5,17.98,GB,clear sky
78,Ahipara,-35.1667,173.1667,55.89,91,19,5.48,NZ,few clouds
79,Hilo,19.7297,-155.09,73.27,84,75,8.05,US,broken clouds
80,Acapulco,16.8634,-99.8901,82.22,74,75,4.61,MX,broken clouds
81,Provideniya,64.3833,-173.3,44.85,77,79,7.2,RU,broken clouds
82,Kaitangata,-46.2817,169.8464,47.46,96,100,2.19,NZ,moderate rain
83,Torbay,47.6666,-52.7314,74.17,72,75,17.27,CA,broken clouds
84,Mildura,-34.2,142.15,52.34,62,77,6.71,AU,broken clouds
85,Airai,-8.9266,125.4092,53.53,86,13,4.76,TL,few clouds
86,Ustynivka,47.9551,32.5367,82.06,46,98,4.5,UA,overcast clouds
87,Waipawa,-41.4122,175.5153,53.01,81,29,18.19,NZ,scattered clouds
88,Pacific Grove,36.6177,-121.9166,59.02,95,100,4.0,US,mist
89,Axim,4.8699,-2.2405,79.56,68,93,8.23,GH,overcast clouds
90,Hobyo,5.3505,48.5268,78.15,81,85,23.22,SO,overcast clouds
91,Neryungri,56.6709,124.6491,47.32,91,100,4.25,RU,overcast clouds
92,Menzelinsk,55.7271,53.1026,70.79,55,0,4.76,RU,clear sky
93,Pak Phanang,8.3511,100.202,81.91,74,89,6.71,TH,light rain
94,Dikson,73.5069,80.5464,43.12,80,100,6.67,RU,overcast clouds
95,Hofn,64.2539,-15.2082,51.15,80,62,2.04,IS,broken clouds
96,Puerto Ayora,-0.7393,-90.3518,75.16,97,98,5.01,EC,overcast clouds
97,Tasiilaq,65.6145,-37.6368,42.96,77,100,2.44,GL,overcast clouds
98,Beyneu,45.3167,55.2,79.34,22,30,15.77,KZ,scattered clouds
99,Point Fortin,10.1833,-61.6833,75.88,81,100,7.07,TT,overcast clouds
100,Viedma,-40.8135,-62.9967,61.72,48,100,10.6,AR,overcast clouds
101,Lewisville,33.0462,-96.9942,87.53,73,75,13.8,US,broken clouds
102,Bethel,41.3712,-73.414,88.2,55,20,8.05,US,few clouds
103,Sakakah,29.9697,40.2064,101.77,12,0,14.54,SA,clear sky
104,Maitum,6.0392,124.4986,79.81,84,62,5.5,PH,broken clouds
105,Trairi,-3.2778,-39.2689,89.82,40,23,13.06,BR,few clouds
106,Yumaguzino,52.9041,56.3933,68.99,54,1,6.44,RU,clear sky
107,Daru,-9.0763,143.2092,75.74,80,12,12.73,PG,few clouds
108,Khatanga,71.9667,102.5,40.98,64,10,4.85,RU,clear sky
109,Igurusi,-8.85,33.85,80.71,34,62,4.47,TZ,broken clouds
110,Cabarroguis,16.5833,121.5,74.25,95,100,3.85,PH,overcast clouds
111,Carnarvon,-24.8667,113.6333,69.57,46,0,12.12,AU,clear sky
112,Palaikastron,35.2,26.25,82.92,61,0,17.27,GR,clear sky
113,Narsaq,60.9167,-46.05,44.82,93,100,3.18,GL,light rain
114,Mataura,-46.1927,168.8643,48.47,99,100,1.23,NZ,light rain
115,Saint Anthony,45.0205,-93.218,70.79,86,100,9.22,US,overcast clouds
116,Olga,43.7444,135.2892,60.53,66,0,5.35,RU,clear sky
117,Tabou,4.423,-7.3528,78.96,70,96,9.93,CI,overcast clouds
118,Vestmannaeyjar,63.4427,-20.2734,54.37,70,55,16.17,IS,broken clouds
119,Kuminskiy,58.6667,66.5667,58.96,61,59,6.55,RU,broken clouds
120,Sokoto,13.0609,5.239,79.41,73,100,6.58,NG,overcast clouds
121,Ambilobe,-13.2,49.05,76.77,56,40,7.81,MG,scattered clouds
122,Ushuaia,-54.8,-68.3,40.62,56,0,4.61,AR,clear sky
123,Hamilton,39.1834,-84.5333,80.89,77,40,6.91,US,scattered clouds
124,Cabo San Lucas,22.8909,-109.9124,86.5,71,20,8.05,MX,few clouds
125,Chkalovsk,56.7647,43.2433,69.06,51,99,7.18,RU,overcast clouds
126,Kavieng,-2.5744,150.7967,80.91,78,100,13.6,PG,light rain
127,Tiznit,29.5833,-9.5,93.42,25,100,6.6,MA,light rain
128,Martapura,-3.4167,114.85,78.89,69,41,2.3,ID,scattered clouds
129,Leh,34.1667,77.5833,69.78,29,29,7.43,IN,scattered clouds
130,Libin,49.9833,5.2833,75.04,32,0,7.81,BE,clear sky
131,Bengkulu,-3.8004,102.2655,76.42,91,100,6.51,ID,overcast clouds
132,Port Elizabeth,-33.918,25.5701,57.09,87,100,14.97,ZA,light rain
133,Aklavik,68.2191,-135.0107,41.56,85,100,1.3,CA,overcast clouds
134,Kodiak,57.79,-152.4072,54.91,94,100,4.61,US,overcast clouds
135,Poum,-20.2333,164.0167,71.47,79,100,10.2,NC,overcast clouds
136,Anda,46.4,125.3167,61.34,55,80,5.46,CN,broken clouds
137,Saskylakh,71.9167,114.0833,43.83,58,94,6.35,RU,overcast clouds
138,Svetlaya,46.5389,138.3297,63.81,58,52,12.8,RU,broken clouds
139,Rivers,50.0308,-100.2403,67.15,63,0,1.9,CA,clear sky
140,Salmas,38.1973,44.7653,85.62,15,96,6.62,IR,overcast clouds
141,Georgetown,5.4112,100.3354,85.89,84,40,4.61,MY,light rain
142,Boralday,43.3578,76.8594,60.66,39,75,8.95,KZ,broken clouds
143,Adrar,20.5022,-10.0711,101.21,24,18,4.63,MR,few clouds
144,Salalah,17.0151,54.0924,77.09,94,100,6.91,OM,overcast clouds
145,Mwanza,-2.5167,32.9,75.49,59,7,13.2,TZ,clear sky
146,Gigmoto,13.7796,124.39,79.75,83,100,2.8,PH,overcast clouds
147,San Carlos De Bariloche,-41.1456,-71.3082,49.75,66,75,6.91,AR,broken clouds
148,Pemba,-12.974,40.5178,77.7,78,20,13.8,MZ,few clouds
149,Muzhi,65.3667,64.6667,58.28,46,100,4.25,RU,overcast clouds
150,Rawson,-43.3002,-65.1023,52.09,76,40,11.5,AR,scattered clouds
151,Asau,46.4333,26.4,85.28,46,41,4.52,RO,scattered clouds
152,Ahuimanu,21.4447,-157.8378,78.51,76,75,10.36,US,broken clouds
153,Castro,-24.7911,-50.0119,52.72,64,100,11.27,BR,overcast clouds
154,Helena,46.5927,-112.0361,73.35,42,0,3.44,US,clear sky
155,Hurricane,37.1753,-113.2899,81.32,51,3,2.48,US,clear sky
156,Bathsheba,13.2167,-59.5167,88.41,70,40,14.97,BB,scattered clouds
157,Souillac,-20.5167,57.5167,71.98,83,75,17.27,MU,light rain
158,Canton,23.1167,113.25,78.75,74,81,8.39,CN,broken clouds
159,Saint-Philippe,-21.3585,55.7679,71.19,77,24,15.57,RE,few clouds
160,Clyde River,70.4692,-68.5914,50.23,62,100,13.8,CA,overcast clouds
161,Dalbandin,28.8947,64.4101,89.64,15,99,6.73,PK,overcast clouds
162,Teahupoo,-17.8333,-149.2667,64.36,81,73,14.58,PF,light rain
163,Gravdal,68.1214,13.5031,54.37,94,100,16.08,NO,overcast clouds
164,Ixtapa,20.7,-105.2,85.23,83,20,5.75,MX,few clouds
165,Lagoa,39.05,-27.9833,74.1,72,12,3.06,PT,few clouds
166,Pastavy,55.1168,26.8326,69.91,73,89,10.74,BY,overcast clouds
167,Ribeira Grande,38.5167,-28.7,77.4,78,40,5.75,PT,scattered clouds
168,Boma,7.0805,-2.1697,78.82,84,95,4.25,GH,light rain
